title,author,length
The Blood of Olympus,Rick Riordan,Length: 14 hrs and 25 mins
Freud Manovishleshan [Freud Psychoanalysis],Sigmund Freud,Length: 20 hrs and 13 mins
Kadal Pura - Part 3,Sandilyan,Length: 19 hrs and 3 mins
The Bulletproof Diet,Dave Asprey,Length: 9 hrs and 19 mins
Ghar Wapasi (Hindi Edition),Ajeet Bharti,Length: 4 hrs and 26 mins
Maalgudi Ki Kahaniyan [Stories of Malgudi],R.K. Narayan,Length: 10 hrs and 55 mins
"Thiruvarangan Ula, Part 3 (Tamil Edition)",Sri Venugopalan,Length: 6 hrs and 56 mins
If He Had Been with Me,Laura Nowlin,Length: 8 hrs and 37 mins
The Worlds I See,Fei-Fei Li,Length: 12 hrs and 10 mins
Night School,Lee Child,Length: 11 hrs and 12 mins
The Amityville Horror,Jay Anson,Length: 6 hrs and 28 mins
Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,Length: 3 hrs and 39 mins
P.G. Wodehouse Volume 1,P.G. Wodehouse,Length: 40 hrs and 37 mins
Of Human Bondage,W. Somerset Maugham,Length: 25 hrs and 53 mins
The Amityville Horror,Jay Anson,Length: 6 hrs and 28 mins
Unf--k Your Brain,Faith G. Harper PhD LPC-S ACS ACN,Length: 3 hrs and 39 mins
The Escape,David Baldacci,Length: 14 hrs and 51 mins
Shrimad Bhagwad Gita (Hindi Edition),R. R. Varma,Length: 25 hrs and 56 mins
Narasimha,Kevin Missal,Length: 9 hrs and 59 mins
The Heart Sutra,Osho,Length: 16 hrs and 24 mins
Do It Now: Overcoming Procrastination,"Fuschia Sirois,The Great Courses",Length: 4 hrs and 11 mins
Critical Business Skills for Success,"The Great Courses,Clinton O. Longenecker,Eric Sussman,Michael A. Roberto,Ryan Hamilton",Length: 31 hrs and 18 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Killing Commendatore,Haruki Murakami,Length: 28 hrs and 27 mins
Crime and Punishment,"Fyodor Dostoevsky,Constance Garnett - translator",Length: 20 hrs and 28 mins
"Nothing Special Series Box Set, Books 1-5",A. E. Via,Length: 51 hrs and 39 mins
Self-Hypnosis,"Brian M. Alman PhD,Peter Lambrou PhD",Length: 13 hrs and 20 mins
"Nawabs, Nudes, Noodles",Ambi Parameswaran,Length: 9 hrs and 5 mins
The Alchemist (Tamil Edition),"Paulo Coelho,Nagalakshmi Shanmugam - translator",Length: 6 hrs and 20 mins
Philosophia Ultima,Osho,Length: 19 hrs and 43 mins
The Fourth Turning,"William Strauss,Neil Howe",Length: 19 hrs and 27 mins
The Magic of Self-Respect,Osho,Length: 29 hrs and 16 mins
Mindfulness,Harvard Business Review,Length: 1 hr and 41 mins
The Psychology of Selling,Brian Tracy,Length: 6 hrs and 18 mins
Objectives and Key Results,"Paul R. Niven,Ben Lamorte",Length: 8 hrs and 50 mins
365 Moral Stories,Pegasus Books,Length: 5 hrs and 43 mins
Kalvanin Kaadhali (Tamil Edition),Kalki,Length: 6 hrs and 52 mins
The 12-Week Fitness Project (Hindi Edition),Rujuta Diwekar,Length: 3 hrs and 29 mins
Food: A Cultural Culinary History,"Ken Albala,The Great Courses",Length: 18 hrs and 22 mins
Oru Naal,Subramaniam Na Ka,Length: 4 hrs and 21 mins
Kashmirnama (Hindi Edition),Ashok Kumar Pandey,Length: 21 hrs and 20 mins
Archie: Volumes 1-6 Bundle (Dramatized Adaptation),"Mark Waid,Fiona Staples,Veronica Fish,Thomas Pitilli,Ryan Jampole,Joe Eisma,Pete Woods,Ian Flynn,Kelly Fitzpatrick,Audrey Mok,Jack Morelli",Length: 10 hrs and 29 mins
Letters to a Young Poet,"Rainer Maria Rilke,Franz Xaver Kappus,Damion Searls - translator",Length: 3 hrs and 19 mins
Ramakrishna Paramahamsa (Original Recording - Voice of Sirshree) (Hindi Edition),Sirshree,Length: 4 hrs and 6 mins
Fifty Shades Darker (Hindi Edition),E.L. James,Length: 22 hrs and 16 mins
Harappa,Vineet Bajpai,Length: 9 hrs and 38 mins
What to Eat When,"Michael F. Roizen MD,Michael Crupain MD MPH,Ted Spiker",Length: 7 hrs and 2 mins
Mindfulness for Stress Management,Dr. Robert Schacter,Length: 2 hrs and 41 mins
Ikigai for Young Readers (Hindi Edition),"Hector Garcia,Fransesc Miralles",Length: 3 hrs and 48 mins
The Summer I Turned Pretty,Jenny Han,Length: 6 hrs
International Relations Theories,"Tim Dunne - editor,Milja Kurki - editor,Steve Smith - editor",Length: 22 hrs and 13 mins
50 Greatest Short Stories,"Terry O'Brien - editor,Terry O'Brien - introduction",Length: 22 hrs and 12 mins
Age of Swords,Michael J. Sullivan,Length: 20 hrs and 3 mins
Social,Matthew D. Lieberman,Length: 11 hrs and 16 mins
If Tomorrow Comes,Sidney Sheldon,Length: 12 hrs and 36 mins
Breath By Breath,"Larry Rosenberg,David Guy,Jon Kabat-Zinn - foreward",Length: 7 hrs and 33 mins
Why I Am a Hindu,Shashi Tharoor,Length: 13 hrs and 2 mins
Antaryatra Ke Sutra (Hindi),OSHO,Length: 1 hr and 29 mins
Danger: Truth at Work,OSHO,Length: 27 hrs and 27 mins
Notes from Underground,Fyodor Dostoevsky,Length: 4 hrs and 35 mins
Kalank (Hindi Edition),"Bhawana Bhatt,Mohammad Anas",Length: 5 hrs and 42 mins
At Your Command,Neville Goddard,Length: 1 hr and 34 mins
What Do You Care What Other People Think?,"Richard P. Feynman,Ralph Leighton",Length: 6 hrs and 12 mins
Why Materialism Is Baloney,Bernardo Kastrup,Length: 8 hrs and 40 mins
Percy Jackson and the Greek Gods,Rick Riordan,Length: 12 hrs and 23 mins
"Whatever You Do, Don't Run",Peter Allison,Length: 6 hrs and 45 mins
Ikigai for Young Readers (Marathi Edition),"Hector Garcia,Fransesc Miralles,Prasad Dhapre - translator",Length: 3 hrs and 42 mins
Genome,Matt Ridley,Length: 14 hrs and 27 mins
Active Parenting,RamG Vallath,Length: 6 hrs and 33 mins
Oversubscribed,Daniel Priestley,Length: 6 hrs and 33 mins
Those Who Wait,Haley Cass,Length: 21 hrs and 6 mins
It Happened in India,Biyani Kishore,Length: 8 hrs and 21 mins
The Five Rules for Successful Stock Investing,"Pat Dorsey,Joe Mansueto",Length: 11 hrs and 53 mins
Do It Now: Overcoming Procrastination,"Fuschia Sirois,The Great Courses",Length: 4 hrs and 11 mins
Thirukkural,"Thiruvalluvar,M. Rajaram - translator",Length: 10 hrs and 25 mins
The Convoluted Universe: Book One,Dolores Cannon,Length: 21 hrs and 59 mins
The Little Book of Behavioral Investing,James Montier,Length: 5 hrs and 2 mins
Killian,Natasha Knight,Length: 7 hrs and 20 mins
How to Build a Boat,Elaine Feeney,Length: 8 hrs and 10 mins
Alai Osai [The Sound of Waves],Kalki Krishnamurthy,Length: 30 hrs and 18 mins
"Understanding Genetics: DNA, Genes, and Their Real-World Applications","David Sadava,The Great Courses",Length: 12 hrs and 3 mins
The Laws of Trading,Agustin Lebron,Length: 11 hrs and 18 mins
The Labors of Hercules,Agatha Christie,Length: 8 hrs and 43 mins
The Escape,David Baldacci,Length: 14 hrs and 51 mins
Hedge Fund Market Wizards,Jack D. Schwager,Length: 16 hrs and 10 mins
F.U. Money,Dan Lok,Length: 4 hrs and 50 mins
The Ickabog,J.K. Rowling,Length: 7 hrs and 52 mins
Azim Premji,"Sundeep Khanna,Varun Sood",Length: 8 hrs and 28 mins
Siththamellam Sivamayam,Uma Sampath,Length: 4 hrs and 36 mins
Notes for Healthy Kids (Marathi Edition),Rujuta Diwekar,Length: 6 hrs and 19 mins
Dawood's Mentor,S. Hussain Zaidi,Length: 7 hrs and 32 mins
Speed Reading Secrets of the World's Fastest Reader,Howard Stephen Berg,Length: 1 hr and 59 mins
He Who Fights with Monsters 3,"Shirtaloon,Travis Deverell",Length: 24 hrs and 39 mins
An Elderly Lady Is Up to No Good,"Helene Tursten,Marlaine Delargy - Translated by",Length: 3 hrs and 12 mins
Shakti Rising,"Kavitha M. Chinnaiyan MD,Greg Goode - foreword",Length: 8 hrs and 11 mins
Keepers of the Kalachakra (Hindi Edition),Ashwin Sanghi,Length: 13 hrs and 11 mins
The 12 Week Year,"Brian P. Moran,Michael Lennington",Length: 5 hrs and 17 mins
Sense and Sensibility,Jane Austen,Length: 11 hrs and 25 mins
Not Without Your Love,Arvind Parashar,Length: 6 hrs and 29 mins
Clear Thinking,Shane Parrish,Length: 6 hrs and 41 mins
The Girl in the Red Lipstick,Ajay K Pandey,Length: 5 hrs and 34 mins
Anna Karenina,Leo Tolstoy,Length: 35 hrs and 35 mins
Summary of Atomic Habits,Ideabrew Studios,Length: 32 mins
Little Book of Sideways Markets,Vitally Katsenelson,Length: 5 hrs and 13 mins
The Deep End,Jeff Kinney,Length: 2 hrs and 3 mins
Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood,Mark Twain,Length: 10 hrs and 10 mins
Health Secrets from the Great Gurus,"Joseph Murphy,Dale Carnegie,William W. Atkinson,Wallace D. Wattles",Length: 5 hrs and 17 mins
HBR's 10 Must Reads on Mental Toughness,"Harvard Business Review,Martin E. P. Seligman,Tony Schwartz,Warren G. Bennis,Robert J. Thomas",Length: 4 hrs and 30 mins
The Attention Revolution,B. Alan Wallace PhD,Length: 6 hrs and 56 mins
System Collapse,Martha Wells,Length: 6 hrs and 36 mins
I Am That,Osho,Length: 26 hrs and 26 mins
"Change Your Thinking, Change Your Life",Brian Tracy,Length: 8 hrs and 57 mins
The Night Tiger,Yangsze Choo,Length: 14 hrs and 8 mins
The Confident Mind,Nathaniel Zinsser,Length: 10 hrs and 34 mins
Money and Banking: What Everyone Should Know,"Michael K. Salemi,The Great Courses",Length: 18 hrs and 6 mins
Little Women,Louisa May Alcott,Length: 12 hrs and 15 mins
A Time for all Things,Ruskin Bond,Length: 16 hrs and 33 mins
Himalaywasi Guru Aur Chati Indri [The Himalayan Guru and the Sixth Sense],Dr. Priyabhishek Sharma,Length: 5 hrs and 23 mins
The Heartfulness Way,"Kamlesh D. Patel,Joshua Pollock",Length: 6 hrs and 18 mins
The Membership Economy,Robbie Kellman Baxter,Length: 8 hrs and 12 mins
The Complete Fiction of H.P. Lovecraft,H. P. Lovecraft,Length: 51 hrs and 40 mins
The Bookworm Crush,Lisa Brown Roberts,Length: 10 hrs and 34 mins
The Adventures of Tom Sawyer,Mark Twain,Length: 7 hrs and 52 mins
All Systems Red,Martha Wells,Length: 3 hrs and 17 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Chanakya Neeti,Acharya Chanakya,Length: 5 hrs and 2 mins
The Year of the Runaways,Sunjeev Sahota,Length: 15 hrs and 57 mins
A Life of J.R.D. – Beyond the Last Blue Mountain,R M Lala,Length: 1 hr and 6 mins
"Stop Walking on Eggshells, Third Edition","Paul T. Mason MS,Randi Kreger",Length: 7 hrs and 36 mins
"Nothing Special Series Box Set, Books 1-5",A. E. Via,Length: 51 hrs and 39 mins
Vichar Niyam [Power of Happy Thoughts],Sirshree,Length: 6 hrs and 48 mins
The Last Law of Attraction Book You’ll Ever Need to Read,Andrew Kap,Length: 4 hrs and 29 mins
The Great Train Journey,Ruskin Bond,Length: 3 hrs and 35 mins
The Bookworm Crush,Lisa Brown Roberts,Length: 10 hrs and 34 mins
The Adventures of Tom Sawyer,Mark Twain,Length: 7 hrs and 52 mins
All Systems Red,Martha Wells,Length: 3 hrs and 17 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Chanakya Neeti,Acharya Chanakya,Length: 5 hrs and 2 mins
The Year of the Runaways,Sunjeev Sahota,Length: 15 hrs and 57 mins
The Camera Man,Peter Grainger,Length: 11 hrs and 32 mins
A Life of J.R.D. – Beyond the Last Blue Mountain,R M Lala,Length: 1 hr and 6 mins
"Stop Walking on Eggshells, Third Edition","Paul T. Mason MS,Randi Kreger",Length: 7 hrs and 36 mins
Vichar Niyam [Power of Happy Thoughts],Sirshree,Length: 6 hrs and 48 mins
The Last Law of Attraction Book You’ll Ever Need to Read,Andrew Kap,Length: 4 hrs and 29 mins
The Great Train Journey,Ruskin Bond,Length: 3 hrs and 35 mins
Birthday Drama!,Rachel Renée Russell,Length: 3 hrs and 41 mins
"The Science of Effective Communication: Improve Your Social Skills and Small Talk, Develop Charisma and Learn How to Talk to Anyone",Ian Tuhovsky,Length: 4 hrs and 35 mins
Lost Islamic History,Firas Alkhateeb,Length: 9 hrs and 6 mins
See You at the Top 25th Anniversary,Zig Ziglar,Length: 4 hrs and 53 mins
Retribution,TurtleMe,Length: 23 hrs and 7 mins
Azim Premji,"Sundeep Khanna,Varun Sood",Length: 8 hrs and 28 mins
The Prophet,Khalil Gibrán,Length: 1 hr and 30 mins
Activate Your Vagus Nerve,Dr. Navaz Habib,Length: 5 hrs and 12 mins
The Bookworm Crush,Lisa Brown Roberts,Length: 10 hrs and 34 mins
The Adventures of Tom Sawyer,Mark Twain,Length: 7 hrs and 52 mins
All Systems Red,Martha Wells,Length: 3 hrs and 17 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Chanakya Neeti,Acharya Chanakya,Length: 5 hrs and 2 mins
The Year of the Runaways,Sunjeev Sahota,Length: 15 hrs and 57 mins
The Camera Man,Peter Grainger,Length: 11 hrs and 32 mins
A Life of J.R.D. – Beyond the Last Blue Mountain,R M Lala,Length: 1 hr and 6 mins
"Stop Walking on Eggshells, Third Edition","Paul T. Mason MS,Randi Kreger",Length: 7 hrs and 36 mins
Vichar Niyam [Power of Happy Thoughts],Sirshree,Length: 6 hrs and 48 mins
The Last Law of Attraction Book You’ll Ever Need to Read,Andrew Kap,Length: 4 hrs and 29 mins
The Great Train Journey,Ruskin Bond,Length: 3 hrs and 35 mins
Birthday Drama!,Rachel Renée Russell,Length: 3 hrs and 41 mins
"The Science of Effective Communication: Improve Your Social Skills and Small Talk, Develop Charisma and Learn How to Talk to Anyone",Ian Tuhovsky,Length: 4 hrs and 35 mins
Lost Islamic History,Firas Alkhateeb,Length: 9 hrs and 6 mins
See You at the Top 25th Anniversary,Zig Ziglar,Length: 4 hrs and 53 mins
Retribution,TurtleMe,Length: 23 hrs and 7 mins
Azim Premji,"Sundeep Khanna,Varun Sood",Length: 8 hrs and 28 mins
The Prophet,Khalil Gibrán,Length: 1 hr and 30 mins
Activate Your Vagus Nerve,Dr. Navaz Habib,Length: 5 hrs and 12 mins
